block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_275140,54-52,0,54 Lincoln,540047,SE2014-hsep1407-Sunday-01_merged_980020,1984660-SE2014-hsep1407-Sunday-01_merged_983082
a_277022,1-52,0,1 Hope St,10006,SE2014-hsep1401-Weekday-02_merged_980022,1992570-SE2014-hsep1401-Weekday-02_merged_985357
a_276874,31-52,0,31 Providence,310001,SE2014-hsep1401-Weekday-02_merged_980022,1990472-SE2014-hsep1401-Weekday-02_merged_981568
b_276803,28-52,0,28 Providence,280002,SE2014-hsep1401-Weekday-02_merged_980032,1991847-SE2014-hsep1401-Weekday-02_merged_986889
b_275062,56-52,1,56 Chalkstone,560008,SE2014-hsep1406-Saturday-01_merged_980027,1982843-SE2014-hsep1406-Saturday-01_merged_986962
b_275085,54-52,1,54 Lincoln,540048,SE2014-hsep1406-Saturday-01_merged_980027,1983544-SE2014-hsep1406-Saturday-01_merged_986515
a_277004,4-52,1,Providence,40039,SE2014-hsep1401-Weekday-02_merged_980022,1992150-SE2014-hsep1401-Weekday-02
b_276861,21-52,0,Inbound,210019,SE2014-hsep1401-Weekday-02_merged_980032,1990124-SE2014-hsep1401-Weekday-02_merged_986118
a_276807,28-52,1,28 Providence,280003,SE2014-hsep1401-Weekday-02_merged_980022,1991812-SE2014-hsep1401-Weekday-02_merged_982190
b_276882,20-52,1,20 ELMWOOD,200004,SE2014-hsep1401-Weekday-02_merged_980032,1990844-SE2014-hsep1401-Weekday-02_merged_990250
a_276857,30-52,1,30 Oaklawn,300015,SE2014-hsep1401-Weekday-02_merged_980022,1990038-SE2014-hsep1401-Weekday-02_merged_983838
b_275128,56-52,0,56 Providence,560005,SE2014-hsep1407-Sunday-01_merged_980030,1984400-SE2014-hsep1407-Sunday-01_merged_985990
b_276889,20-52,0,20 Providence,200003,SE2014-hsep1401-Weekday-02_merged_980032,1990830-SE2014-hsep1401-Weekday-02_merged_989678
b_276848,3-52,1,3A WARWICK AV,30034,SE2014-hsep1401-Weekday-02_merged_980032,1989798-SE2014-hsep1401-Weekday-02_merged_989291
b_276891,57-52,0,57 Providence,570004,SE2014-hsep1401-Weekday-02_merged_980032,1990796-SE2014-hsep1401-Weekday-02_merged_989721
b_276928,73-52,1,73 Fairlawn,730002,SE2014-hsep1401-Weekday-02_merged_980032,1989443-SE2014-hsep1401-Weekday-02_merged_987912
b_278776,63-52,0,63 GATEWAY,630024,SE2014-hsem1401-Weekday-01_merged_980029,1996121-SE2014-hsem1401-Weekday-01
b_276802,28-52,0,28 Providence,280002,SE2014-hsep1401-Weekday-02_merged_980032,1991842-SE2014-hsep1401-Weekday-02_merged_990707
a_276872,31-52,1,31 Cranston St,310002,SE2014-hsep1401-Weekday-02_merged_980022,1990527-SE2014-hsep1401-Weekday-02_merged_980738
b_274794,60-52,0,60 Providence,600065,SE2014-hsem1401-Weekday-01_merged_980029,1978835-SE2014-hsem1401-Weekday-01_merged_988235
b_276890,20-52,0,20 Providence,200006,SE2014-hsep1401-Weekday-02_merged_980032,1990700-SE2014-hsep1401-Weekday-02_merged_987493
a_275118,87-52,0,87 WALNUT HL,870014,SE2014-hsep1407-Sunday-01_merged_980020,1984042-SE2014-hsep1407-Sunday-01_merged_983119
b_275485,69-52,0,Hill Climber,690001,SE2014-hsem1401-Weekday-01_merged_980029,1986356-SE2014-hsem1401-Weekday-01_merged_989694
b_276971,65-52,1,65 Wakefield,650007,SE2014-hsep1401-Weekday-02_merged_980032,1992033-SE2014-hsep1401-Weekday-02_merged_991211
b_276821,14-52,1,14 West bay,140005,SE2014-hsep1401-Weekday-02_merged_980032,1989418-SE2014-hsep1401-Weekday-02_merged_987002
b_276851,55-52,1,55 FATIMA,550017,SE2014-hsep1401-Weekday-02_merged_980032,1989925-SE2014-hsep1401-Weekday-02_merged_988887
b_275133,31-52,0,31 Providence,310001,SE2014-hsep1407-Sunday-01_merged_980030,1984514-SE2014-hsep1407-Sunday-01_merged_990930
a_276853,33-52,1,33 Riverside,330004,SE2014-hsep1401-Weekday-02_merged_980022,1989900-SE2014-hsep1401-Weekday-02_merged_981638
a_276864,21-52,1,21 Reservoir,210012,SE2014-hsep1401-Weekday-02_merged_980022,1990222-SE2014-hsep1401-Weekday-02_merged_983118
b_275477,67-52,1,67 BELLEVUE,670007,SE2014-hsem1401-Weekday-01_merged_980029,1986092-SE2014-hsem1401-Weekday-01_merged_988949
b_276819,87-52,1,87 Woonsocket,870002,SE2014-hsep1401-Weekday-02_merged_980032,1989488-SE2014-hsep1401-Weekday-02_merged_991233
a_276929,60-52,1,60 Newport,600047,SE2014-hsep1401-Weekday-02_merged_980022,1991283-SE2014-hsep1401-Weekday-02_merged_980625
b_275309,27-52,1,27 MANTON AVE,270013,SE2014-hsep1406-Saturday-01_merged_980027,1985874-SE2014-hsep1406-Saturday-01_merged_990231
a_275070,31-52,1,31 Cranston St,310002,SE2014-hsep1406-Saturday-01_merged_980017,1982878-SE2014-hsep1406-Saturday-01_merged_980751
b_276937,58-52,1,58 MIN SPRING,580020,SE2014-hsep1401-Weekday-02_merged_980032,1991330-SE2014-hsep1401-Weekday-02_merged_986903
b_276713,1-52,0,1 Hope St,10006,SE2014-hsep1407-Sunday-01_merged_980030,1988817-SE2014-hsep1407-Sunday-01_merged_986530
b_276710,1-52,1,1 Eddy St,10024,SE2014-hsep1406-Saturday-01_merged_980027,1988728-SE2014-hsep1406-Saturday-01_merged_986700
